[2026-03-04T11:02:30.373Z] {"timestamp":1772622149793,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1.3333333730697632,"documentHeight":3712,"viewportHeight":588}}
[2026-03-04T11:02:44.374Z] {"timestamp":1772622164351,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1071.3333740234375,"documentHeight":2459,"viewportHeight":588}}
[2026-03-04T11:02:48.371Z] {"timestamp":1772622166877,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":969.3333129882812,"documentHeight":2459,"viewportHeight":588}}
[2026-03-04T11:02:48.371Z] {"timestamp":1772622167383,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":351.3333435058594,"documentHeight":2459,"viewportHeight":588}}
[2026-03-04T11:02:48.371Z] {"timestamp":1772622167900,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":3.3333332538604736,"documentHeight":2459,"viewportHeight":588}}
[2026-03-04T11:02:50.380Z] {"timestamp":1772622170156,"kind":"focusout","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:37","href":"/testimonials","text":"Reviews","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:37\"]"},"value":null}}
[2026-03-04T11:02:50.380Z] {"timestamp":1772622170156,"kind":"focusin","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:37","href":"/blog","text":"Blog","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:37\"]"}}}
[2026-03-04T11:02:50.380Z] {"timestamp":1772622170259,"kind":"click","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:38","href":null,"text":"Blog","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:38\"]"},"x":836,"y":38}}
[2026-03-04T11:02:50.380Z] {"timestamp":1772622170260,"kind":"navigate","url":"http://localhost:3001/blog","viewport":{"width":1272,"height":588},"payload":{"reason":"pushState"}}
[2026-03-04T11:02:52.404Z] {"timestamp":1772622171958,"kind":"scroll","url":"http://localhost:3001/blog","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1.3333333730697632,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:02:54.379Z] {"timestamp":1772622172565,"kind":"scroll","url":"http://localhost:3001/blog","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":206,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:02:54.379Z] {"timestamp":1772622173125,"kind":"scroll","url":"http://localhost:3001/blog","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":401.3333435058594,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:02:54.379Z] {"timestamp":1772622174266,"kind":"scroll","url":"http://localhost:3001/blog","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":601.3333129882812,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:02:56.373Z] {"timestamp":1772622175200,"kind":"focusout","url":"http://localhost:3001/blog","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:37","href":"/blog","text":"Blog","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:37\"]"},"value":null}}
[2026-03-04T11:02:56.373Z] {"timestamp":1772622175279,"kind":"click","url":"http://localhost:3001/blog","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"div","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Blog.tsx:92","href":null,"text":"Photography Safari Photography Tips: Capture Stunning Wildlife Moments Learn pro…","selectorHint":"[data-loc=\"client\\src\\pages\\Blog.tsx:92\"]"},"x":627,"y":282}}
[2026-03-04T11:02:58.374Z] {"timestamp":1772622176450,"kind":"focusin","url":"http://localhost:3001/blog","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Blog.tsx:133","href":"#","text":"Read More","selectorHint":"[data-loc=\"client\\src\\pages\\Blog.tsx:133\"]"}}}
[2026-03-04T11:02:58.374Z] {"timestamp":1772622176521,"kind":"click","url":"http://localhost:3001/blog","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Blog.tsx:133","href":"#","text":"Read More","selectorHint":"[data-loc=\"client\\src\\pages\\Blog.tsx:133\"]"},"x":584,"y":259}}
[2026-03-04T11:02:58.374Z] {"timestamp":1772622176523,"kind":"navigate","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"reason":"popstate"}}
[2026-03-04T11:02:58.374Z] {"timestamp":1772622176525,"kind":"navigate","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"reason":"hashchange"}}
[2026-03-04T11:02:58.374Z] {"timestamp":1772622176540,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":798.6666870117188,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:02:58.374Z] {"timestamp":1772622177042,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":3.3333332538604736,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:02:58.374Z] {"timestamp":1772622177563,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":42,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:02:58.374Z] {"timestamp":1772622178063,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":155.3333282470703,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:00.374Z] {"timestamp":1772622178563,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":158,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:00.374Z] {"timestamp":1772622179079,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":794.6666870117188,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:00.374Z] {"timestamp":1772622179580,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1492.6666259765625,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:02.378Z] {"timestamp":1772622180506,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1901.3333740234375,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:02.378Z] {"timestamp":1772622181223,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1990.6666259765625,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:02.378Z] {"timestamp":1772622181863,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1193.3333740234375,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:02.378Z] {"timestamp":1772622182363,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1473.3333740234375,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:04.372Z] {"timestamp":1772622183155,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1290.6666259765625,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:04.372Z] {"timestamp":1772622183679,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1090.6666259765625,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:06.372Z] {"timestamp":1772622184539,"kind":"scroll","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":690.6666870117188,"documentHeight":2580,"viewportHeight":588}}
[2026-03-04T11:03:06.372Z] {"timestamp":1772622185560,"kind":"focusout","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Blog.tsx:133","href":"#","text":"Read More","selectorHint":"[data-loc=\"client\\src\\pages\\Blog.tsx:133\"]"},"value":null}}
[2026-03-04T11:03:06.372Z] {"timestamp":1772622185561,"kind":"focusin","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:37","href":"/ticketing","text":"Ticketing","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:37\"]"}}}
[2026-03-04T11:03:06.372Z] {"timestamp":1772622185631,"kind":"click","url":"http://localhost:3001/blog#","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:38","href":null,"text":"Ticketing","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:38\"]"},"x":506,"y":45}}
[2026-03-04T11:03:06.372Z] {"timestamp":1772622185632,"kind":"navigate","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"reason":"pushState"}}
[2026-03-04T11:03:08.372Z] {"timestamp":1772622187654,"kind":"scroll","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":193.3333282470703,"documentHeight":1593,"viewportHeight":588}}
[2026-03-04T11:03:08.372Z] {"timestamp":1772622188157,"kind":"scroll","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":319.3333435058594,"documentHeight":1593,"viewportHeight":588}}
[2026-03-04T11:03:10.372Z] {"timestamp":1772622190237,"kind":"scroll","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":193.3333282470703,"documentHeight":1593,"viewportHeight":588}}
[2026-03-04T11:03:12.371Z] {"timestamp":1772622191676,"kind":"scroll","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":593.3333129882812,"documentHeight":1593,"viewportHeight":588}}
[2026-03-04T11:03:14.372Z] {"timestamp":1772622193336,"kind":"scroll","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":790.6666870117188,"documentHeight":1593,"viewportHeight":588}}
[2026-03-04T11:03:18.370Z] {"timestamp":1772622196452,"kind":"scroll","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":693.3333129882812,"documentHeight":1593,"viewportHeight":588}}
[2026-03-04T11:03:18.370Z] {"timestamp":1772622197368,"kind":"scroll","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":793.3333129882812,"documentHeight":1593,"viewportHeight":588}}
[2026-03-04T11:03:18.370Z] {"timestamp":1772622197870,"kind":"scroll","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":999.3333129882812,"documentHeight":1593,"viewportHeight":588}}
[2026-03-04T11:03:20.369Z] {"timestamp":1772622198385,"kind":"scroll","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":498.6666564941406,"documentHeight":1593,"viewportHeight":588}}
[2026-03-04T11:03:26.381Z] {"timestamp":1772622205278,"kind":"focusout","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:37","href":"/ticketing","text":"Ticketing","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:37\"]"},"value":null}}
[2026-03-04T11:03:32.374Z] {"timestamp":1772622211397,"kind":"focusin","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:37","href":"/ticketing","text":"Ticketing","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:37\"]"}}}
[2026-03-04T11:03:39.303Z] {"timestamp":1772622217531,"kind":"focusout","url":"http://localhost:3001/ticketing","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:37","href":"/ticketing","text":"Ticketing","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:37\"]"},"value":null}}
